cultivar_id,fruit_group,species_slug,cultivar_name,species_scientific,type_label,description_text,synonyms,availability_text,held_in_nfc,images,source_url,source_licence,nfc_id,acc4,flower_10pct_mmdd,flower_full_mmdd,petal_fall_90pct_mmdd,picking_window_text,bloom_week,bloom_band,harvest_band,self_fertile,triploid,pollination_notes,disease_scab,disease_mildew,disease_fire_blight,wet_climate_suitability,drought_suitability,enrichment_sources,trait_size,trait_shape,trait_ribbing,trait_crown,trait_ground_colour,trait_over_colour_amount,trait_over_colour,trait_over_colour_pattern,trait_russet,trait_crunch,trait_flesh_colour,trait_height,trait_width,trait_firmness,trait_skin_colour,trait_juice_colour,trait_weight,trait_stone,trait_flavour,trait_veining,trait_hairiness,trait_bristles
pear-general-leclerc,pear,fruit-pear,General Leclerc,Pyrus communis L.,,Availability Material available from the National Fruit Collection. Accession No. 1972 - 031 check_circle Accession name General Leclerc Flowering time 24th April 10% flowering 30th April Full (80%) flowering 8th May 90% petal fall Size medium-large 1 Shape conical/pyriform 1 Ground Colour green-yellow/yellow 1 Over Colour (Amount) absent 1 Over Colour none 1 Russet medium/high 1 Flesh Colour cream 1 Weight 191.00 g 1 Russet (percent) 26-75% 1 Stalk Angle oblique 1 Stalk Curve absent 1 Stalk Thickness thick 1 Stalk Length short mm 1 Eye Aperture half open 1 References: 1,,Material available from the National Fruit Collection. Accession No. 1972 - 031 check_circle Accession name General Leclerc,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7302&&fruit=pear,Open Government Licence (Crown Copyright; excluding logos),7302.0,,04-30,05-08,,,19.0,,,,,,,,,,,,medium-large,conical/pyriform,,,green-yellow/yellow,absent,none,,medium/high,,cream,,,,,,191.00 g,,,,,
pear-passe-crassane,pear,fruit-pear,Passe Crassane,Pyrus communis L.,,"Availability Material available from the National Fruit Collection. Mother to: Bon-Chretien Frederic Baudry Accession No. 1975 - 195 check_circle Accession name Passe Crassane (LA) Flowering time 17th April 10% flowering 21st April Full (80%) flowering 30th April 90% petal fall References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this websit",,Material available from the National Fruit Collection. Mother to: Bon-Chretien Frederic Baudry Accession No. 1975 - 195 check_circle Accession name Passe Crassane (LA),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7484&&fruit=pear,Open Government Licence (Crown Copyright; excluding logos),7484.0,,04-21,04-30,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pear-josephine-de-malines,pear,fruit-pear,Josephine de Malines,Pyrus communis L.,,"Availability Material available from the National Fruit Collection. Accession No. 1970 - 043 check_circle Accession name Josephine de Malines (M211) Flowering time 22nd April 10% flowering 26th April Full (80%) flowering 6th May 90% petal fall References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of cha",,Material available from the National Fruit Collection. Accession No. 1970 - 043 check_circle Accession name Josephine de Malines (M211),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7350&&fruit=pear,Open Government Licence (Crown Copyright; excluding logos),7350.0,,04-26,05-06,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pear-duchesse-dangouleme,pear,fruit-pear,Duchesse d'Angouleme,Pyrus communis L.,,Availability Material available from the National Fruit Collection. Mother to: Alliance Franc-Russe Accession No. 2001 - 050 check_circle Accession name Duchesse d'Angouleme Flowering time 17th April 10% flowering 22nd April Full (80%) flowering 2nd May 90% petal fall Size large-very large 1 Shape conical/pyriform 1 Ground Colour yellow 1 Over Colour (Amount) absent 1 Over Colour none 1 Russet low/medium 1 Flesh Colour yellow 1 Weight 355.00 g 1 Russet (percent) 1-50% 1 Stalk Angle oblique 1 Stalk Curve very weak 1 Stalk Thickness thick 1 Stalk Length medium mm 1 Eye Aper,,Material available from the National Fruit Collection. Mother to: Alliance Franc-Russe Accession No. 2001 - 050 check_circle Accession name Duchesse d'Angouleme,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7257&&fruit=pear,Open Government Licence (Crown Copyright; excluding logos),7257.0,,04-22,05-02,,,18.0,,,,,,,,,,,,large-very large,conical/pyriform,,,yellow,absent,none,,low/medium,,yellow,,,,,,355.00 g,,,,,
pear-louise-bonne-davranches,pear,fruit-pear,Louise Bonne d'Avranches,,,,,,,,,Open Government Licence (Crown Copyright; excluding logos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-bing,cherry,fruit-cherry-sweet,Bing,Prunus avium L.,,"Availability Not currently held in the National Fruit Collection. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",,"Not currently held in the National Fruit Collection. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",False,,https://www.nationalfruitcollection.org.uk/full2.php?id=6518&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),6518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-techlovicka-ii,cherry,fruit-cherry-sweet,Techlovicka II,Prunus avium L.,,Synonyms: Kordia,Kordia,"Material available from the National Fruit Collection. Accession No. 1974 - 221 check_circle Accession name Techlovicka II Firmness very firm 1 Flesh Colour Medium Red 1 Fruit Weight 11.50 g 1 Stalk Length 58.16 mm 1 Skin Colour brown red 1 Pistil pointed 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7930&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium Red,,,very firm,brown red,red,,,,,,
cherry-lambert,cherry,fruit-cherry-sweet,Lambert,Prunus avium L.,,"Availability Material available from the National Fruit Collection. Accession No. 1978 - 283 check_circle Accession name Lambert Firmness medium/firm 1 Flesh Colour Dark Red 1 Fruit Weight 10.10 g 1 Stalk Length 37.63 mm 1 Skin Colour dark red 1 Pistil pointed 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this",,"Material available from the National Fruit Collection. Accession No. 1978 - 283 check_circle Accession name Lambert Firmness medium/firm 1 Flesh Colour Dark Red 1 Fruit Weight 10.10 g 1 Stalk Length 37.63 mm 1 Skin Colour dark red 1 Pistil pointed 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7780&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Red,,,medium/firm,dark red,red,,,,,,
cherry-lapins,cherry,fruit-cherry-sweet,Lapins,Prunus avium L.,,Synonyms: Cherokee,Cherokee,"Material in the National Fruit Collection not currently available. Accession No. 1984 - 212 cancel Accession name Lapins Firmness medium/firm 1 Flesh Colour Pink/Medium Red/Dark Red 1 Fruit Weight 9.40 g 1 Stalk Length 45.59 mm 1 Skin Colour dark red 1 Pistil flat 1 Juice Colour red/purple 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7782&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink/Medium Red/Dark Red,,,medium/firm,dark red,red/purple,,,,,,
cherry-regina,cherry,fruit-cherry-sweet,Regina,Prunus avium L.,,"Availability Material available from the National Fruit Collection. Accession No. 1998 - 002 check_circle Accession name Regina Firmness firm 1 Flesh Colour Dark Red 1 Fruit Weight 8.60 g 1 Stalk Length 49.98 mm 1 Skin Colour brown red 1 Pistil depressed 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this websi",,"Material available from the National Fruit Collection. Accession No. 1998 - 002 check_circle Accession name Regina Firmness firm 1 Flesh Colour Dark Red 1 Fruit Weight 8.60 g 1 Stalk Length 49.98 mm 1 Skin Colour brown red 1 Pistil depressed 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7876&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Red,,,firm,brown red,red,,,,,,
cherry-skeena,cherry,fruit-cherry-sweet,Skeena,Prunus avium L.,,"Availability Material in the National Fruit Collection not currently available. Accession No. 2007 - 025 cancel Accession name Skeena Firmness firm 1 Flesh Colour Dark Red 1 Fruit Weight 11.90 g 1 Stalk Length 35.13 mm 1 Skin Colour dark red 1 Pistil depressed 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not includ",,"Material in the National Fruit Collection not currently available. Accession No. 2007 - 025 cancel Accession name Skeena Firmness firm 1 Flesh Colour Dark Red 1 Fruit Weight 11.90 g 1 Stalk Length 35.13 mm 1 Skin Colour dark red 1 Pistil depressed 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=9136&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),9136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Red,,,firm,dark red,,,,,,,
cherry-sweetheart,cherry,fruit-cherry-sweet,Sweetheart,Prunus avium L.,,"Availability Material in the National Fruit Collection not currently available. Accession No. 1987 - 073 cancel Accession name Sweetheart Firmness firm 1 Flesh Colour Pink/Medium Red 1 Fruit Weight 8.30 g 1 Stalk Length 42.61 mm 1 Skin Colour red/dark red 1 Pistil flat 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information feature",,"Material in the National Fruit Collection not currently available. Accession No. 1987 - 073 cancel Accession name Sweetheart Firmness firm 1 Flesh Colour Pink/Medium Red 1 Fruit Weight 8.30 g 1 Stalk Length 42.61 mm 1 Skin Colour red/dark red 1 Pistil flat 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7926&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink/Medium Red,,,firm,red/dark red,red,,,,,,
cherry-van,cherry,fruit-cherry-sweet,Van,Prunus avium L.,,"Availability Material available from the National Fruit Collection. Accession No. 1974 - 253 check_circle Accession name Van (2D-14-11) Firmness firm 1 Flesh Colour Dark Red 1 Fruit Weight 11.80 g 1 Stalk Length 28.36 mm 1 Skin Colour brown red 1 Pistil flat 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this w",,"Material available from the National Fruit Collection. Accession No. 1974 - 253 check_circle Accession name Van (2D-14-11) Firmness firm 1 Flesh Colour Dark Red 1 Fruit Weight 11.80 g 1 Stalk Length 28.36 mm 1 Skin Colour brown red 1 Pistil flat 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7947&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Red,,,firm,brown red,red,,,,,,
cherry-rainier,cherry,fruit-cherry-sweet,Rainier,Prunus avium L.,,"Availability Material available from the National Fruit Collection. Accession No. 1978 - 284 check_circle Accession name Rainier (IR 444.1) Firmness medium/firm 1 Flesh Colour Yellow 1 Fruit Weight 12.30 g 1 Stalk Length 36.46 mm 1 Skin Colour yellow with blush 1 Pistil flat 1 Juice Colour colourless/pink 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the i",,"Material available from the National Fruit Collection. Accession No. 1978 - 284 check_circle Accession name Rainier (IR 444.1) Firmness medium/firm 1 Flesh Colour Yellow 1 Fruit Weight 12.30 g 1 Stalk Length 36.46 mm 1 Skin Colour yellow with blush 1 Pistil flat 1 Juice Colour colourless/pink 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7874&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,medium/firm,yellow with blush,colourless/pink,,,,,,
cherry-napoleon,cherry,fruit-cherry-sweet,Napoleon,Prunus avium L.,,Availability Material available from the National Fruit Collection. Accession No. 1975 - 093 check_circle Accession name Napoleon (EMLA) Firmness medium/firm 1 Flesh Colour Cream 1 Fruit Weight 7.90 g 1 Stalk Length 48.08 mm 1 Skin Colour yellow with blush 1 Pistil pointed 1 Juice Colour colourless 1 Accession No. 1963 - 161 check_circle Accession name Napoleon (V1006) Accession No. 1963 - 162 check_circle Accession name Napoleon (V1007) Accession No. 1963 - 163 check_circle Accession name Napoleon (V1009) Firmness soft/medium 1 Flesh Colour Cream 1 Fruit Weigh,,"Material available from the National Fruit Collection. Accession No. 1975 - 093 check_circle Accession name Napoleon (EMLA) Firmness medium/firm 1 Flesh Colour Cream 1 Fruit Weight 7.90 g 1 Stalk Length 48.08 mm 1 Skin Colour yellow with blush 1 Pistil pointed 1 Juice Colour colourless 1 Accession No. 1963 - 161 check_circle Accession name Napoleon (V1006) Accession No. 1963 - 162 check_circle Accession name Napoleon (V1007) Accession No. 1963 - 163 check_circle Accession name Napoleon (V1009) Firmness soft/medium 1 Flesh Colour Cream 1 Fruit Weight 5.00 g 1 Stalk Length 54.78 mm 1 Skin Colour yellow with blush 1 Pistil depressed 1 Juice Colour colourless/light_yellow 1 Accession No. 1963 - 164 check_circle Accession name Napoleon (V1010) Accession No. 1963 - 165 check_circle Accession name Napoleon (V1014) References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7834&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cream,,,soft/medium,yellow with blush,colourless/light_yellow,,,,,,
cherry-chelan,cherry,fruit-cherry-sweet,Chelan,Prunus avium L.,,"Availability Material available from the National Fruit Collection. Accession No. 2007 - 021 check_circle Accession name Chelan Firmness medium 1 Flesh Colour Dark Red 1 Fruit Weight 7.40 g 1 Stalk Length 38.44 mm 1 Skin Colour blackish 1 Pistil flat 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (",,"Material available from the National Fruit Collection. Accession No. 2007 - 021 check_circle Accession name Chelan Firmness medium 1 Flesh Colour Dark Red 1 Fruit Weight 7.40 g 1 Stalk Length 38.44 mm 1 Skin Colour blackish 1 Pistil flat 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=9132&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),9132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Red,,,medium,blackish,red,,,,,,
cherry-tieton,cherry,fruit-cherry-sweet,Tieton,,,,,,,,,Open Government Licence (Crown Copyright; excluding logos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-balaton,cherry,fruit-cherry-sweet,Balaton,,,,,,,,,Open Government Licence (Crown Copyright; excluding logos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-montmorency,cherry,fruit-cherry-sweet,Montmorency,Prunus cerasus L.,,"Availability Material available from the National Fruit Collection. Accession No. 1975 - 086 check_circle Accession name Montmorency Firmness very soft 1 Flesh Colour Cream/Yellow 1 Fruit Weight 4.70 g 1 Stalk Length 32.28 mm 1 Skin Colour light red 1 Pistil flat 1 Juice Colour colourless/pink 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information f",,"Material available from the National Fruit Collection. Accession No. 1975 - 086 check_circle Accession name Montmorency Firmness very soft 1 Flesh Colour Cream/Yellow 1 Fruit Weight 4.70 g 1 Stalk Length 32.28 mm 1 Skin Colour light red 1 Pistil flat 1 Juice Colour colourless/pink 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7824&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cream/Yellow,,,very soft,light red,colourless/pink,,,,,,
cherry-northstar,cherry,fruit-cherry-sweet,Northstar,Prunus cerasus L.,,"Availability Material available from the National Fruit Collection. Accession No. 2000 - 130 check_circle Accession name North Star Firmness soft 1 Flesh Colour Dark Red 1 Fruit Weight 4.90 g 1 Stalk Length 35.53 mm 1 Skin Colour brown red 1 Pistil flat 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this websit",,"Material available from the National Fruit Collection. Accession No. 2000 - 130 check_circle Accession name North Star Firmness soft 1 Flesh Colour Dark Red 1 Fruit Weight 4.90 g 1 Stalk Length 35.53 mm 1 Skin Colour brown red 1 Pistil flat 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7845&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Red,,,soft,brown red,red,,,,,,
cherry-meteor,cherry,fruit-cherry-sweet,Meteor,Prunus cerasus L.,,"Availability Material available from the National Fruit Collection. Accession No. 1978 - 277 check_circle Accession name Meteor (VF) Firmness very soft 1 Flesh Colour Yellow 1 Fruit Weight 4.30 g 1 Stalk Length 33.19 mm 1 Skin Colour orange red/light red 1 Pistil flat 1 Juice Colour colourless/pink 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the informat",,"Material available from the National Fruit Collection. Accession No. 1978 - 277 check_circle Accession name Meteor (VF) Firmness very soft 1 Flesh Colour Yellow 1 Fruit Weight 4.30 g 1 Stalk Length 33.19 mm 1 Skin Colour orange red/light red 1 Pistil flat 1 Juice Colour colourless/pink 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7819&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,very soft,orange red/light red,colourless/pink,,,,,,
cherry-danube,cherry,fruit-cherry-sweet,Danube,,,,,,,,,Open Government Licence (Crown Copyright; excluding logos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plum-victoria,plum,fruit-plum,Victoria,Prunus domestica L.,Dessert & Culinary,"Found in a garden at Alderton, Sussex and sold to Denyer, a nurseryman at Brixton. It was introduced in about 1840. It was awarded a First Class Certificate by the Rhs in 1973. Fruits have medium firm, moderately juicy flesh with a little sweet and a little rich flavour.",,Material in the National Fruit Collection is available under license. Sports: Grove's Late Victoria Accession No. 2006 - 019 check_circle Accession name Victoria; Late Sport N.F.T. No.2 Accession No. 2006 - 020 check_circle Accession name Victoria; Late Sport N.F.T. No.3 Accession No. 1976 - 046 check_circle Accession name Victoria (EMLA),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=8351&&fruit=plum,Open Government Licence (Crown Copyright; excluding logos),8351.0,,04-20,04-29,,Late August-Early September,17.0,,,,,,,,,,,,medium-large,Oval,,,,,,,,,,,,,Whitish/Yellow,,,Freestone,,,,
plum-opal,plum,fruit-plum,Opal,Prunus domestica L.,Dessert,"Raised in 1925 at the Horticultural Research Station, Alnarp, Sweden. Fruits have moderately firm flesh with a good sweet and rich flavour. Buds and flowers tend to be susceptible to bird damage.",,Material in the National Fruit Collection is available under license. Accession No. 1976 - 036 check_circle Accession name Opal (EMLA),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=8240&&fruit=plum,Open Government Licence (Crown Copyright; excluding logos),8240.0,,04-20,04-29,,Early August,17.0,,,,,,,,,,,,medium,Oval-Oblong,,,,,,,,,,,,,Yellow/Purple-red,,,Freestone,,,,
plum-czar,plum,fruit-plum,Czar,Prunus domestica L.,Culinary,"Raised by Rivers of Sawbridgeworth and first fruited in 1874. The Russian Emperor was on a visit to this country, so the plum was named Czar in his honour. Fruits have tender flesh with a pleasant acid flavour. Cooks well.",,Material in the National Fruit Collection is available under license. Accession No. 1977 - 186 check_circle Accession name Czar (EMLA),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=8080&&fruit=plum,Open Government Licence (Crown Copyright; excluding logos),8080.0,,04-23,05-07,,Early August,19.0,,,,,,,,,,,,medium,Oval-Oblong,,,,,,,,,,,,,Purple-red,,,Semi-freestone,,,,
plum-president,plum,fruit-plum,President,Prunus domestica L.,Dessert & Culinary,"Raised at Sawbridgeworth by Rivers and introduced in 1901. It was awarded the Award of Merit by the RHS in 1895 and a First Class Certificate in 1900. Fruits have juicy, sweet flesh with a pleasant flavour. An excellent cooker.",,Material in the National Fruit Collection is available under license. Accession No. 1927 - 049 check_circle Accession name President,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=8254&&fruit=plum,Open Government Licence (Crown Copyright; excluding logos),8254.0,,04-19,05-03,,Mid-Late September,18.0,,,,,,,,,,,,large,Oval,,,,,,,,,,,,,Purple-red,,,Freestone,,,,
